Year,Primary production,Secondary production old scrap,Secondary production new scrap,Secondary production,Shipments,"Imports ",Exports,Industry stocks,LME stocks,Government stocks,Total stocks,Apparent consumption,Unit value (Rs/t),World production
1983,3353000,820000,953000,1770000,5850000,1000000,776000,2260000,NA,0,2270000,4940000,1510,13900000
1984,4099000,825000,935000,1760000,6350000,1340000,734000,2690000,NA,2000,2690000,5100000,1350,15700000
1985,3500000,850000,912000,1760000,6380000,1290000,908000,2340000,NA,2000,2350000,5080000,1080,15400000
1986,3037000,784000,989000,1770000,6520000,1810000,753000,2240000,NA,2000,2240000,4970000,1230,15400000
1987,3343000,852000,1130000,1990000,6870000,1660000,917000,1890000,NA,2000,1900000,5290000,1590,16500000
1988,3944000,1050000,1080000,2120000,6840000,1420000,1250000,1880000,NA,2000,1890000,5170000,2430,18500000
1989,4030000,1010000,1040000,2050000,6760000,1260000,1620000,1820000,NA,2000,1820000,4740000,1940,19000000
1990,4048000,1360000,1030000,2390000,6640000,1300000,1660000,1820000,NA,2000,1820000,5050000,1630,19300000
1991,4121000,1320000,969000,2290000,6350000,1280000,1760000,1780000,168000,2000,1950000,4830000,1310,19700000
1992,4042000,1610000,1140000,2760000,6850000,1460000,1450000,1880000,214000,57000,2160000,5516000,1270,19500000
1993,3695000,1630000,1310000,2940000,7330000,2230000,1210000,1980000,169000,57000,2210000,6290000,1180,19800000
1994,3299000,1500000,1580000,3090000,8170000,2990000,1370000,2070000,18000,57000,2150000,6480000,1570,19200000
1995,3375000,1510000,1680000,3190000,8260000,2550000,1610000,2000000,45000,57000,2100000,5868000,1890,19700000
1996,3577000,1570000,1730000,3310000,8330000,2410000,1500000,1860000,33000,57000,1950000,6209000,1570,20800000
1997,3603000,1530000,2020000,3550000,8880000,2630000,1570000,1860000,8000,380,1870000,6218000,1700,21700000
1998,3713000,1500000,1950000,3440000,9260000,3050000,1590000,1930000,13000,0,1940000,6598000,1440,22600000
1999,3779000,1570000,2120000,3700000,9840000,3390000,1640000,1870000,14000,0,1880000,7158000,1450,23600000
2000,3668000,1370000,2080000,3450000,9830000,3290000,1760000,1550000,125,0,1550000,6901875,1640,24300000
2001,2637000,1210000,1760000,2970000,9300000,3240000,1590000,1300000,28000,0,1330000,5719125,1520,24300000
2002,2707000,1170000,1750000,2930000,9620000,3600000,1590000,1320000,45000,0,1370000,5850000,1430,26100000
2003,2703000,1070000,1750000,2820000,9710000,3690000,1540000,1400000,207000,0,1610000,5681000,1500,28000000
2004,2516000,1160000,1870000,3030000,10400000,4180000,1820000,1470000,116000,0,1590000,6057000,1850,29900000
2005,2481000,1080000,1950000,3030000,10300000,4850000,2370000,1430000,209000,0,1640000,5988000,2010,31900000
2006,2284000,1260000,2290000,3540000,10500000,4660000,2820000,1410000,228000,0,1640000,5385000,2680,33900000
2007,2554000,1540000,2250000,3790000,9720000,4020000,2840000,1400000,463000,0,1870000,5049000,2690,37900000
2008,2658000,1500000,2130000,3630000,8530000,3710000,3280000,1220000,1290000,0,2510000,3941000,2660,39700000
2009,1727000,1260000,1570000,2820000,6840000,3680000,2710000,937000,2200000,0,3140000,3330000,1750,37200000
2010,1726000,1250000,1540000,2790000,8440000,3610000,3040000,1010000,2230000,0,3240000,3443000,2300,41800000
2011,1986000,1440000,1670000,3110000,8960000,3710000,3420000,1060000,2360000,0,3420000,3536000,2560,46800000
2012,2070000,1620000,1750000,3380000,9420000,3760000,3480000,1140000,2120000,0,3260000,4130000,2230,49300000
2013,1946000,1630000,1790000,3410000,9690000,4160000,3390000,1130000,1950000,0,3080000,4526000,2080,52200000
2014,1710000,1700000,1930000,3640000,10100000,4290000,3230000,1280000,1190000,0,2470000,5080000,2300,54100000
2015,1587000,1470000,1910000,3380000,10600000,4560000,3010000,1350000,507000,0,1860000,5220000,1940,57800000
2016,818000,1570000,2010000,3580000,10800000,5410000,2820000,1400000,362000,0,1760000,5073000,1770,59400000
2017,741000,1590000,2050000,3630000,11200000,6220000,2900000,1470000,254000,0,1720000,5689000,2170,59400000
2018,891000,1570000,2140000,3710000,11400000,5550000,3080000,1570000,186000,0,1760000,4899000,2530,63300000
2019,1093000,1540000,1920000,3470000,11200000,5280000,2970000,1600000,120000,0,1720000,4979000,2190,62600000
2020,1012000,1420000,1630000,3050000,9950000,4260000,2750000,1490000,235000,0,1730000,3937000,1980,65000000
2021,889000,1520000,1780000,3300000,11000000,4830000,2950000,1870000,69000,0,1940000,4075000,3050,67500000
2022,966641,1609900,1920000,3470000,11200000,5280000,2970000,1600000,120000,0,1720000,5105541,3150,68100000
2023,880406,1618505,1630000,3050000,9950000,4260000,2750000,1490000,235000,0,1730000,4003911,3275,69600000
2024,794172,1635715,1780000,3300000,11000000,4830000,2950000,1870000,69000,0,1940000,4095887,3400,71200000